subroot,occ,subid_long,subid_short,subnumber,Male,Age_scan,R1_num_cor,R1_num_sem,R1_num_per,R1_num_dis,R1_num_resp,R1_num_omi,R1_tot_num_q,R1_percent_acc,R1_num_err_incomi,R1_percent_err_incomi,R1_num_err_excomi,R1_percent_err_excomi,R1_percent_err_sem_incomi,R1_percent_err_per_incomi,R1_percent_err_dis_incomi,R1_percent_err_discorr_incomi,R1_percent_err_omi_incomi,R1_percent_err_sem_excomi,R1_percent_err_per_excomi,R1_percent_err_dis_excomi,R1_percent_err_discorr_excomi,R1_percent_resp_cor,R1_percent_resp_sem,R1_percent_resp_per,R1_percent_resp_dis,R1_percent_resp_discorr,R1_meanRT_cor,R1_meanRT_sem,R1_meanRT_per,R1_meanRT_dis,R1_meanRTcorr_cor,R1_meanRTcorr_sem,R1_meanRTcorr_per,R1_meanRTcorr_dis,R2_num_cor,R2_num_sem,R2_num_per,R2_num_dis,R2_num_resp,R2_num_omi,R2_tot_num_q,R2_percent_acc,R2_num_err_incomi,R2_percent_err_incomi,R2_num_err_excomi,R2_percent_err_excomi,R2_percent_err_sem_incomi,R2_percent_err_per_incomi,R2_percent_err_dis_incomi,R2_percent_err_discorr_incomi,R2_percent_err_omi_incomi,R2_percent_err_sem_excomi,R2_percent_err_per_excomi,R2_percent_err_dis_excomi,R2_percent_err_discorr_excomi,R2_percent_resp_cor,R2_percent_resp_sem,R2_percent_resp_per,R2_percent_resp_dis,R2_percent_resp_discorr,R2_meanRT_cor,R2_meanRT_sem,R2_meanRT_per,R2_meanRT_dis,R2_meanRTcorr_cor,R2_meanRTcorr_sem,R2_meanRTcorr_per,R2_meanRTcorr_dis,R2_percent_sem,R2_percent_per,R2_percent_dis,R2_Correct_dividedby_Semantic,R2_Semantic_dividedby_per_dis
n129,1,nora_n129t1,n129_t1,129,1,9.36,19,,0,1,20,0,20,95,1,5,1,5,,0,100,50,0,,0,100,50,95,,0,5,3,3.95,,,6.86,3.73,,,,17,0,0,0,17,3,20,85,3,15,0,0,0,0,0,,100,,,,,100,0,0,0,,5.24,,,,4.94,,,,0,0,0,17,0
n134,1,nora_n134t1,n134_t1,134,1,15.81,40,,0,0,40,0,40,100,0,0,0,0,,,,,,,,,,100,,0,0,0,2.98,,,,2.85,,,,36,3,0,1,40,0,40,90,4,10,4,10,75,0,25,,0,75,0,25,,90,8,0,3,,4.25,6.63,,6.71,4.09,6.63,,,7.5,0,2.5,12,3
n135,1,nora_n135t1,n135_t1,135,1,6.54,30,,5,3,38,2,40,75,10,25,8,21,,50,30,15,20,,63,38,19,79,,13,8,4,5.25,,4.7,7.45,4.7,,4.7,7.45,23,9,1,2,35,5,40,58,17,43,12,34,53,6,12,,29,75,8,17,,66,26,3,6,,5.6,5.48,5.52,6.67,5.39,5.48,,6.67,22.5,2.5,5,2.555555556,3
n137,1,nora_n137t1,n137_t1,137,1,10.46,40,,0,0,40,0,40,100,0,0,0,0,,,,,,,,,,100,,0,0,0,3.6,,,,3.29,,,,38,0,0,0,38,2,40,95,2,5,0,0,0,0,0,,100,,,,,100,0,0,0,,4.91,,,,4.69,,,,0,0,0,38,0
n139,1,nora_n139t1,n139_t1,139,1,14.41,40,,0,0,40,0,40,100,0,0,0,0,,,,,,,,,,100,,0,0,0,2.88,,,,2.72,,,,39,1,0,0,40,0,40,98,1,3,1,3,100,0,0,,0,100,0,0,,98,3,0,0,,3.82,7.21,,,3.69,,,,2.5,0,0,39,1
n141,1,nora_n141t1,n141_t1,141,1,14.23,38,,0,2,40,0,40,95,2,5,2,5,,0,100,50,0,,0,100,50,95,,0,5,3,3.07,,,3.24,2.77,,,3.24,33,3,4,0,40,0,40,83,7,18,7,18,43,57,0,,0,43,57,0,,83,8,10,0,,3.51,6.22,4.42,,3.44,6.22,4.42,,7.5,10,0,11,3
n142,1,nora_n142t1,n142_t1,142,1,11.84,38,,2,0,40,0,40,95,2,5,2,5,,100,0,0,0,,100,0,0,95,,5,0,0,4.09,,6.5,,3.75,,6.5,,34,0,2,2,38,2,40,85,6,15,4,11,0,33,33,,33,0,50,50,,89,0,5,5,,4.68,,4.51,3.87,4.48,,4.51,3.87,0,5,5,34,0
n143,1,nora_n143t1,n143_t1,143,1,17.64,40,,0,0,40,0,40,100,0,0,0,0,,,,,,,,,,100,,0,0,0,2.16,,,,2.06,,,,36,3,1,0,40,0,40,90,4,10,4,10,75,25,0,,0,75,25,0,,90,8,3,0,,2.87,4.37,5.89,,2.71,4.37,,,7.5,2.5,0,12,3
n147,1,nora_n147t1,n147_t1,147,0,9.21,37,,1,1,39,1,40,93,3,8,2,5,,33,33,17,33,,50,50,25,95,,3,3,1,4.11,,5.81,8.91,3.96,,,,34,4,1,1,40,0,40,85,6,15,6,15,67,17,17,,0,67,17,17,,85,10,3,3,,5.27,3.56,4.28,4.12,5,3.56,,,10,2.5,2.5,8.5,2
n148,1,nora_n148t1,n148_t1,148,1,10.28,40,,0,0,40,0,40,100,0,0,0,0,,,,,,,,,,100,,0,0,0,3.59,,,,3.41,,,,37,2,0,0,39,1,40,93,3,8,2,5,67,0,0,,33,100,0,0,,95,5,0,0,,4.91,5.42,,,4.68,5.42,,,5,0,0,18.5,2
n149,1,nora_n149t1,n149_t1,149,0,6.91,31,,4,5,40,0,40,78,9,23,9,23,,44,56,28,0,,44,56,28,78,,10,13,6,4.1,,4.43,4.09,3.8,,4.43,4.09,26,7,4,2,39,1,40,65,14,35,13,33,50,29,14,,7,54,31,15,,67,18,10,5,,4.91,3.12,4.96,5.78,4.91,3.12,4.96,5.78,17.5,10,5,3.714285714,1.166666667
n150,1,nora_n150t1,n150_t1,150,0,9.51,38,,2,0,40,0,40,95,2,5,2,5,,100,0,0,0,,100,0,0,95,,5,0,0,3.02,,3.79,,3.02,,3.79,,32,4,2,2,40,0,40,80,8,20,8,20,50,25,25,,0,50,25,25,,80,10,5,5,,4.69,3.87,8.33,6.86,4.55,3.87,8.33,6.86,10,5,5,8,1
n151,1,nora_n151t1,n151_t1,151,1,10.62,36,,3,1,40,0,40,90,4,10,4,10,,75,25,13,0,,75,25,13,90,,8,3,1,2.68,,2.17,2.22,2.5,,2.17,,30,9,0,0,39,1,40,75,10,25,9,23,90,0,0,,10,100,0,0,,77,23,0,0,,4.89,4.32,,,4.77,4.32,,,22.5,0,0,3.333333333,9
n152,1,nora_n152t1,n152_t1,152,1,6.65,27,,3,4,34,6,40,68,13,33,7,21,,23,31,15,46,,43,57,29,79,,9,12,6,5.08,,3.33,4.44,5.08,,3.33,4.44,18,6,5,3,32,8,40,45,22,55,14,44,27,23,14,,36,43,36,21,,56,19,16,9,,5.28,4.62,5.27,4.31,5.28,4.62,5.27,4.31,15,12.5,7.5,3,0.75
n153,1,nora_n153t1,n153_t1,153,0,9.43,37,,3,0,40,0,40,93,3,8,3,8,,100,0,0,0,,100,0,0,93,,8,0,0,3.25,,4.28,,2.93,,4.28,,32,4,1,1,38,2,40,80,8,20,6,16,50,13,13,,25,67,17,17,,84,11,3,3,,4.63,4.69,3.44,6.36,4.47,4.69,,,10,2.5,2.5,8,2
n154,1,nora_n154t1,n154_t1,154,1,11.95,39,,0,0,39,1,40,98,1,3,0,0,,0,0,0,100,,,,,100,,0,0,0,3.12,,,,3.12,,,,34,4,1,0,39,1,40,85,6,15,5,13,67,17,0,,17,80,20,0,,87,10,3,0,,4.06,7.3,6.34,,3.88,7.3,,,10,2.5,0,8.5,4
n155,1,nora_n155t1,n155_t1,155,1,8.58,35,,4,1,40,0,40,88,5,13,5,13,,80,20,10,0,,80,20,10,88,,10,3,1,3.22,,3.83,4.21,3.06,,3.83,,31,6,2,1,40,0,40,78,9,23,9,23,67,22,11,,0,67,22,11,,78,15,5,3,,4.08,4.61,4.69,5.59,4.08,4.61,4.69,,15,5,2.5,5.166666667,2
n157,1,nora_n157t1,n157_t1,157,1,14.24,39,,1,0,40,0,40,98,1,3,1,3,,100,0,0,0,,100,0,0,98,,3,0,0,3.27,,4.08,,3.17,,,,37,1,2,0,40,0,40,93,3,8,3,8,33,67,0,,0,33,67,0,,93,3,5,0,,4.49,5.92,8.17,,4.49,,8.17,,2.5,5,0,37,1
n159,1,nora_n159t1,n159_t1,159,1,11.07,40,,0,0,40,0,40,100,0,0,0,0,,,,,,,,,,100,,0,0,0,4.42,,,,4.23,,,,35,3,0,1,39,1,40,88,5,13,4,10,60,0,20,,20,75,0,25,,90,8,0,3,,6.1,7.41,,10.94,5.88,7.41,,,7.5,0,2.5,11.66666667,3
n160,1,nora_n160t1,n160_t1,160,1,15.98,39,,1,0,40,0,40,98,1,3,1,3,,100,0,0,0,,100,0,0,98,,3,0,0,2.42,,2.82,,2.3,,,,39,0,1,0,40,0,40,98,1,3,1,3,0,100,0,,0,0,100,0,,98,0,3,0,,3.32,,5.22,,3.2,,,,0,2.5,0,39,0
n161,1,nora_n161t1,n161_t1,161,1,16.19,40,,0,0,40,0,40,100,0,0,0,0,,,,,,,,,,100,,0,0,0,2.08,,,,1.98,,,,38,1,1,0,40,0,40,95,2,5,2,5,50,50,0,,0,50,50,0,,95,3,3,0,,2.51,3.53,3.18,,2.45,,,,2.5,2.5,0,38,1
n163,1,nora_n163t1,n163_t1,163,0,7.41,40,,0,0,40,0,40,100,0,0,0,0,,,,,,,,,,100,,0,0,0,4.14,,,,4.01,,,,35,2,1,2,40,0,40,88,5,13,5,13,40,20,40,,0,40,20,40,,88,5,3,5,,5.48,7.14,4.26,7.05,5.21,7.14,,7.05,5,2.5,5,17.5,0.666666667
